         461
           1           1
           1           3
           1           4
           1          18
           1          20
           1          21
           1          25
           1          26
           1          31
           1          33
           1          43
           1          45
           2           1
           2           2
           2          20
           2          21
           2          25
           2          26
           3           1
           3           3
           3           4
           3           5
           3           7
           3          18
           3          20
           3          21
           3          38
           3          39
           3          40
           3          41
           3          44
           3          45
           3          46
           3          47
           4           1
           4           3
           4           4
           4           5
           4           6
           4           7
           4           8
           4           9
           4          18
           4          20
           4          21
           4          31
           4          32
           4          33
           4          38
           4          39
           4          40
           4          41
           4          42
           4          43
           4          44
           4          45
           4          46
           4          47
           5           1
           5           3
           5           4
           5           5
           5           6
           5           8
           5           9
           5          18
           5          20
           5          21
           5          25
           5          26
           5          27
           5          28
           5          29
           5          31
           5          33
           5          38
           5          39
           5          40
           5          41
           5          44
           5          45
           5          46
           5          47
           6           4
           6           5
           6           6
           7           3
           7           4
           7           7
           7          20
           7          43
           8           4
           8           5
           8           8
           8          20
           8          21
           8          27
           8          28
           8          29
           8          31
           9           4
           9           9
           9          20
           9          21
          10          10
          10          20
          11          10
          11          20
          12           1
          12           5
          12          12
          12          18
          12          20
          12          24
          12          25
          12          26
          12          28
          12          29
          12          31
          12          33
          15           1
          15           5
          17           1
          17          25
          17          26
          17          28
          17          31
          17          33
          18           1
          18           3
          18           4
          18           5
          18          18
          18          19
          18          26
          18          31
          19           1
          19          19
          20           1
          20           2
          20           3
          20           4
          20           5
          20           7
          20           8
          20           9
          20          10
          20          12
          20          18
          20          19
          20          20
          20          21
          20          22
          20          23
          20          24
          20          25
          20          26
          20          27
          20          28
          20          29
          20          30
          20          31
          20          32
          20          33
          20          34
          20          35
          20          43
          21           1
          21           2
          21           3
          21           4
          21           5
          21           9
          21          10
          21          12
          21          18
          21          20
          21          21
          21          24
          21          25
          21          26
          21          27
          21          28
          21          29
          21          31
          21          32
          21          33
          21          34
          21          35
          21          38
          21          39
          21          40
          21          41
          21          42
          21          43
          21          44
          21          45
          21          46
          21          47
          22           1
          22          20
          22          22
          22          25
          23           1
          23          20
          23          23
          23          25
          24          20
          24          24
          25           1
          25           3
          25           5
          25          18
          25          20
          25          25
          25          26
          25          38
          25          41
          25          45
          26           1
          26           5
          26          18
          26          20
          26          26
          27           1
          27           4
          27           5
          27          20
          27          21
          27          27
          27          42
          27          43
          28           1
          28           3
          28           5
          28          18
          28          20
          28          24
          28          25
          28          26
          28          28
          28          31
          28          33
          28          34
          28          35
          28          38
          28          39
          28          40
          28          41
          28          44
          28          45
          28          46
          28          47
          29           1
          29           3
          29           5
          29          18
          29          20
          29          24
          29          25
          29          29
          29          31
          29          32
          29          35
          29          38
          29          39
          29          40
          29          45
          29          46
          30           1
          30           3
          30           5
          30          20
          30          24
          30          25
          30          30
          30          31
          30          32
          30          35
          30          38
          30          39
          30          40
          30          45
          30          46
          31           1
          31           3
          31           5
          31          18
          31          20
          31          24
          31          26
          31          31
          31          33
          31          38
          31          39
          31          41
          31          44
          31          45
          32           3
          32           4
          32           5
          32          20
          32          21
          32          32
          32          33
          32          38
          32          39
          32          41
          32          42
          32          44
          32          45
          32          46
          33           1
          33           4
          33           5
          33          20
          33          33
          33          45
          34          20
          34          21
          34          34
          34          38
          35           1
          35          20
          35          21
          35          31
          35          35
          35          39
          35          40
          35          41
          35          44
          35          45
          35          47
          36           1
          36          20
          36          24
          36          25
          36          26
          36          31
          36          33
          37           1
          37          21
          37          25
          37          31
          37          38
          37          39
          37          40
          37          41
          37          45
          37          46
          38           1
          38           3
          38           5
          38          20
          38          21
          38          22
          38          25
          38          26
          38          29
          38          34
          38          35
          38          38
          38          39
          38          40
          38          41
          38          44
          38          45
          38          46
          38          47
          39           1
          39           3
          39           5
          39          20
          39          21
          39          23
          39          24
          39          25
          39          30
          39          32
          39          35
          39          38
          39          39
          39          45
          40           3
          40           5
          40          20
          40          21
          40          25
          40          38
          40          40
          40          45
          41           3
          41           5
          41          20
          41          21
          41          26
          41          38
          41          41
          41          45
          42           4
          42           5
          42          20
          42          21
          42          27
          42          42
          43           1
          43           4
          43          20
          43          27
          43          43
          44           3
          44           5
          44          21
          44          38
          44          43
          44          44
          44          45
          45           1
          45           3
          45           4
          45           5
          45          20
          45          21
          45          25
          45          26
          45          29
          45          30
          45          31
          45          33
          45          35
          45          38
          45          39
          45          40
          45          41
          45          44
          45          45
          45          46
          45          47
          46           3
          46           5
          46          21
          46          25
          46          26
          46          38
          46          45
          46          46
          47           1
          47           3
          47           5
          47          18
          47          20
          47          21
          47          26
          47          27
          47          31
          47          33
          47          35
          47          38
          47          39
          47          45
          47          47
